"#";"Iniciar";"Localização";"Descrição"
"148";"25/08/2023 13:53";"=HYPERLINK(""http://maps.google.com/?q=-26,5999793,-51,1023608"",""Calmon (Calmon)"")";"Chave Desligada"
"149";"25/08/2023 13:55";"=HYPERLINK(""http://maps.google.com/?q=-26,5999739,-51,1023568"",""Calmon (Calmon)"")";"Chave Ligada"
"150";"25/08/2023 13:55";"=HYPERLINK(""http://maps.google.com/?q=-26,5999739,-51,1023568"",""Calmon (Calmon)"")";"Arranque do Motor"
"151";"25/08/2023 13:57";"=HYPERLINK(""http://maps.google.com/?q=-26,5990119,-51,1005285"",""Calmon (Calmon)"")";"Em andamento"
"152";"25/08/2023 14:05";"=HYPERLINK(""http://maps.google.com/?q=-26,5999736,-51,1023743"",""Calmon (Calmon)"")";"Parado"
"153";"25/08/2023 14:05";"=HYPERLINK(""http://maps.google.com/?q=-26,5999714,-51,1023846"",""Calmon (Calmon)"")";"Paragem do Motor"
"154";"25/08/2023 14:05";"=HYPERLINK(""http://maps.google.com/?q=-26,5999714,-51,1023846"",""Calmon (Calmon)"")";"Chave Desligada"
"155";"25/08/2023 14:07";"=HYPERLINK(""http://maps.google.com/?q=-26,5999761,-51,1023603"",""Calmon (Calmon)"")";"Chave Ligada"
"156";"25/08/2023 14:07";"=HYPERLINK(""http://maps.google.com/?q=-26,5999761,-51,1023603"",""Calmon (Calmon)"")";"Arranque do Motor"
"157";"25/08/2023 14:08";"=HYPERLINK(""http://maps.google.com/?q=-26,6000296,-51,102471"",""Calmon (Calmon)"")";"Em andamento"
"158";"25/08/2023 14:08";"=HYPERLINK(""http://maps.google.com/?q=-26,5995271,-51,1021873"",""Calmon (Calmon)"")";"Em andamento"
"159";"25/08/2023 14:11";"=HYPERLINK(""http://maps.google.com/?q=-26,6003113,-51,0981043"",""Calmon (Calmon)"")";"Paragem do Motor"
"160";"25/08/2023 14:11";"=HYPERLINK(""http://maps.google.com/?q=-26,6003113,-51,0981043"",""Calmon (Calmon)"")";"Chave Desligada"
"161";"25/08/2023 14:12";"=HYPERLINK(""http://maps.google.com/?q=-26,6003103,-51,0980718"",""Calmon (Calmon)"")";"Parado"
"162";"25/08/2023 14:20";"=HYPERLINK(""http://maps.google.com/?q=-26,6003128,-51,0980639"",""Calmon (Calmon)"")";"Chave Ligada"
"163";"25/08/2023 14:20";"=HYPERLINK(""http://maps.google.com/?q=-26,6003126,-51,0980639"",""Calmon (Calmon)"")";"Arranque do Motor"
"164";"25/08/2023 14:24";"=HYPERLINK(""http://maps.google.com/?q=-26,5998719,-51,0980679"",""Calmon (Calmon)"")";"Em andamento"
"165";"25/08/2023 14:27";"=HYPERLINK(""http://maps.google.com/?q=-26,5999721,-51,1023585"",""Calmon (Calmon)"")";"Paragem do Motor"
"166";"25/08/2023 14:27";"=HYPERLINK(""http://maps.google.com/?q=-26,5999721,-51,1023585"",""Calmon (Calmon)"")";"Chave Desligada"
"167";"25/08/2023 14:28";"=HYPERLINK(""http://maps.google.com/?q=-26,5999698,-51,1023405"",""Calmon (Calmon)"")";"Parado"
"168";"25/08/2023 14:31";"=HYPERLINK(""http://maps.google.com/?q=-26,5999726,-51,1023405"",""Calmon (Calmon)"")";"Chave Ligada"
"169";"25/08/2023 14:31";"=HYPERLINK(""http://maps.google.com/?q=-26,5999726,-51,1023405"",""Calmon (Calmon)"")";"Arranque do Motor"
